Name,PatientInfoColumn,DrEreksonRecommended,Type,ModifiedName,ShortenedName,Notes,,,,,,
PatientID,PatientID,,,,,,,,,,,
TherapistID,TherapistID,,X_column,,,,,,,,,
StartDate,StartDate,,,,,StartDate and EndDate are not from PatientInformation.csv,,,,,,
EndDate,EndDate,,,,,,,,,,,
NumOfAttended,NumOfAttended,,filter,,,,,,,,,
Crisis,Crisis,,X_column,,,Did the session have an appointment type 'crisis' among its appointments?,,,,,,
LastAppShowed,LastAppShowed,,y_column classification,,,Did the client show up to the last appointment in a session?,,,,,,
AttendRate,AttendRate,,y_column regression,,,,,,,,,
notedate,notedate,,,,,,,,,,,
DateDifference,DateDifference,,filter,,,,,,,,,
Female,Gender,yes,X_column,Female,,,,,,,,
RacialMinority,Race / Ethnicity,yes,X_column,RacialMinority,,Not white,,,,,,
age,age,yes,X_column,,,Adjusted so that it is the age at start of session,,,,,,
International Student,International Student,yes,X_column,,,,,,,,,
SexOrientationMinority,Sexual Orientation,yes,X_column,SexOrientationMinority,,,,,,,,
MarriedMale,Relationship Status,yes,X_column,MarriedMale,,Dr Erekson suggested that being a married male might be significant,,,,,,
NursingOrLaw,In what college is your current major?,yes,X_column,NursingOrLaw,,"Dr Erekson: Nursing and law, maybe not others, except in initial distress levels",,,,,,
Disabilities,"Are you registered, with the office for disability services on this campus, as having a documented and diagnosed disability?",yes,X_column,Disabilities,,"Dr Erekson: Maybe, for the below, specific ones, multiple disability might be a good feature, count number of yeses below",,,,,,
"If you selected, ""Yes"" for the previous question, please indicate which category of disability you are registered for (check all that apply) ANSWER: Difficulty hearing","If you selected, ""Yes"" for the previous question, please indicate which category of disability you are registered for (check all that apply) ANSWER: Difficulty hearing",yes,,,,,,,,,,
"If you selected, ""Yes"" for the previous question, please indicate which category of disability you are registered for (check all that apply) ANSWER: Difficulty seeing","If you selected, ""Yes"" for the previous question, please indicate which category of disability you are registered for (check all that apply) ANSWER: Difficulty seeing",yes,,,,,,,,,,
"If you selected, ""Yes"" for the previous question, please indicate which category of disability you are registered for (check all that apply) ANSWER: Difficulty speaking or language impairment","If you selected, ""Yes"" for the previous question, please indicate which category of disability you are registered for (check all that apply) ANSWER: Difficulty speaking or language impairment",yes,,,,,,,,,,
"If you selected, ""Yes"" for the previous question, please indicate which category of disability you are registered for (check all that apply) ANSWER: Mobility limitation/ orthopedic impairment","If you selected, ""Yes"" for the previous question, please indicate which category of disability you are registered for (check all that apply) ANSWER: Mobility limitation/ orthopedic impairment",yes,,,,,,,,,,
"If you selected, ""Yes"" for the previous question, please indicate which category of disability you are registered for (check all that apply) ANSWER: Traumatic brain injury","If you selected, ""Yes"" for the previous question, please indicate which category of disability you are registered for (check all that apply) ANSWER: Traumatic brain injury",yes,,,,,,,,,,
"If you selected, ""Yes"" for the previous question, please indicate which category of disability you are registered for (check all that apply) ANSWER: Specific learning disabilities","If you selected, ""Yes"" for the previous question, please indicate which category of disability you are registered for (check all that apply) ANSWER: Specific learning disabilities",yes,,,,,,,,,,
"If you selected, ""Yes"" for the previous question, please indicate which category of disability you are registered for (check all that apply) ANSWER: ADD or ADHD","If you selected, ""Yes"" for the previous question, please indicate which category of disability you are registered for (check all that apply) ANSWER: ADD or ADHD",yes,,,,,,,,,,
"If you selected, ""Yes"" for the previous question, please indicate which category of disability you are registered for (check all that apply) ANSWER: Autism spectrum disorders","If you selected, ""Yes"" for the previous question, please indicate which category of disability you are registered for (check all that apply) ANSWER: Autism spectrum disorders",yes,,,,,,,,,,
"If you selected, ""Yes"" for the previous question, please indicate which category of disability you are registered for (check all that apply) ANSWER: Cognitive difficulties or intellectual disability","If you selected, ""Yes"" for the previous question, please indicate which category of disability you are registered for (check all that apply) ANSWER: Cognitive difficulties or intellectual disability",yes,,,,,,,,,,
"If you selected, ""Yes"" for the previous question, please indicate which category of disability you are registered for (check all that apply) ANSWER: Health impairment/ condition, including chronic conditions","If you selected, ""Yes"" for the previous question, please indicate which category of disability you are registered for (check all that apply) ANSWER: Health impairment/ condition, including chronic conditions",yes,,,,,,,,,,
"If you selected, ""Yes"" for the previous question, please indicate which category of disability you are registered for (check all that apply) ANSWER: Psychological or psychiatric condition","If you selected, ""Yes"" for the previous question, please indicate which category of disability you are registered for (check all that apply) ANSWER: Psychological or psychiatric condition",yes,,,,,,,,,,
"If you selected, ""Yes"" for the previous question, please indicate which category of disability you are registered for (check all that apply) ANSWER: Other","If you selected, ""Yes"" for the previous question, please indicate which category of disability you are registered for (check all that apply) ANSWER: Other",yes,,,,,,,,,,
Have you been diagnosed with an autism-spectrum disorder or Asperger's Syndrome?,Have you been diagnosed with an autism-spectrum disorder or Asperger's Syndrome?,yes,X_column,,,,,,,,,
ROTC,ROTC,yes,X_column,,,,,,,,,
Military Service,Military Service,yes,X_column,,,,,,,,,
Military Stress,Military Stress,yes,X_column,,,Dr Erekson: Might be redundant given trauma question,,,,,,
First Generation,First Generation,yes,X_column,,,,,,,,,
Financial Stress Now,Financial Stress Now,yes,X_column,,,,,,,,,
Financial Stress Past,Financial Stress Past,yes,X_column,,,,,,,,,
ReligiousMinority,Religion,yes,X_column,ReligiousMinority,,"Not agnostic,  athiest, or christian",,,,,,
AgnosticOrAtheist,,,X_column,AgnosticOrAtheist,,,,,,,,
Prior Counseling,Prior Counseling,yes,X_column,,,,,,,,,
Prior Meds,Prior Meds,yes,X_column,,,,,,,,,
Prior Hospitalization (How many),Prior Hospitalization (How many),yes,X_column,,,Simplify 'How many' questions,,,,,,
Prior Hospitalization (Recent),Prior Hospitalization (Last time),yes,X_column,Prior Hospitalization (Recent),,Use with tree-based models. Decision-trees are clinically practical. Seth reduced Last Time to Recent (within a year which was his somewhat abritrary choice),,,,,,
Need to Reduce D&A (How many),Need to Reduce D&A (How many),yes,X_column,,,,,,,,,
Need to Reduce D&A (Recent),Need to Reduce D&A (Last time),yes,X_column,Need to Reduce D&A (Recent),,,,,,,,
Others Concern Alcohol (How many),Others Concern Alcohol (How many),yes,X_column,,,,,,,,,
Others Concern Alcohol (Recent),Others Concern Alcohol (Last time),yes,X_column,Others Concern Alcohol (Recent),,,,,,,,
Prior D&A Treatment (How many),Prior D&A Treatment (How many),yes,X_column,,,,,,,,,
Prior D&A Treatment (Recent),Prior D&A Treatment (Last time),yes,X_column,Prior D&A Treatment (Recent),,,,,,,,
Self-Injury (How many),Self-Injury (How many),yes,X_column,,,,,,,,,
Self-Injury (Recent),Self-Injury (Last time),yes,X_column,Self-Injury (Recent),,,,,,,,
